MNIST-1617224843,1617224845.949,1.0,0.0017,0.94,0.0043
MNIST-1617224843,1617224845.955,0.98,0.004,1.0,0.0013
MNIST-1617224843,1617224845.961,0.95,0.0073,0.91,0.0095
MNIST-1617224843,1617224845.968,0.97,0.0041,1.0,0.001
MNIST-1617224843,1617224845.975,0.96,0.0052,0.97,0.0067
MNIST-1617224843,1617224845.981,0.92,0.0104,0.97,0.006
MNIST-1617224843,1617224845.987,0.99,0.0039,1.0,0.0005
MNIST-1617224843,1617224845.993,0.97,0.0045,1.0,0.0015
MNIST-1617224843,1617224845.999,0.96,0.0055,0.97,0.0076
MNIST-1617224843,1617224846.005,0.99,0.0027,1.0,0.002
MNIST-1617224843,1617224846.012,0.97,0.0063,0.94,0.0064
MNIST-1617224843,1617224846.018,0.96,0.0047,0.97,0.0045
MNIST-1617224843,1617224846.026,0.97,0.0045,0.97,0.006
MNIST-1617224843,1617224846.032,0.95,0.0072,0.97,0.0035
MNIST-1617224843,1617224846.038,0.98,0.0037,1.0,0.0022
MNIST-1617224843,1617224846.045,0.95,0.0056,1.0,0.0006
MNIST-1617224843,1617224846.05,0.94,0.0082,0.94,0.0077
MNIST-1617224843,1617224846.056,0.94,0.0094,0.97,0.0029
MNIST-1617224843,1617224846.062,0.97,0.0055,0.97,0.0052
MNIST-1617224843,1617224846.067,0.95,0.0088,0.94,0.0059
MNIST-1617224843,1617224846.075,0.97,0.0051,1.0,0.001
MNIST-1617224843,1617224846.08,0.95,0.0082,0.97,0.0023
MNIST-1617224843,1617224846.087,0.92,0.0121,0.94,0.0083
MNIST-1617224843,1617224846.093,0.93,0.0102,0.94,0.0083
MNIST-1617224843,1617224846.099,0.98,0.0021,0.91,0.0101
MNIST-1617224843,1617224846.107,0.97,0.0052,0.97,0.0069
MNIST-1617224843,1617224846.113,0.97,0.0057,1.0,0.0006
MNIST-1617224843,1617224846.118,0.98,0.0033,0.97,0.0056
MNIST-1617224843,1617224846.124,0.97,0.0039,0.97,0.0037
MNIST-1617224843,1617224846.131,0.96,0.0069,0.97,0.0028
MNIST-1617224843,1617224846.137,0.96,0.0059,1.0,0.0004
MNIST-1617224843,1617224846.144,0.95,0.0075,1.0,0.0003
MNIST-1617224843,1617224846.149,0.97,0.0051,0.97,0.0041
MNIST-1617224843,1617224846.156,0.98,0.0031,0.94,0.0067
MNIST-1617224843,1617224846.161,0.99,0.002,0.97,0.0056
MNIST-1617224843,1617224846.168,0.98,0.0033,0.97,0.004
MNIST-1617224843,1617224846.174,0.93,0.0073,0.97,0.0063
MNIST-1617224843,1617224846.18,0.91,0.0109,0.97,0.0027
MNIST-1617224843,1617224846.187,0.99,0.002,1.0,0.0004
MNIST-1617224843,1617224846.193,0.96,0.0066,0.97,0.0064
MNIST-1617224843,1617224846.199,0.99,0.0014,0.94,0.008
MNIST-1617224843,1617224846.206,0.97,0.0068,0.94,0.0135
MNIST-1617224843,1617224846.212,0.93,0.0086,1.0,0.0026
MNIST-1617224843,1617224846.218,0.96,0.007,0.94,0.006
MNIST-1617224843,1617224846.223,0.97,0.0046,1.0,0.0017
MNIST-1617224843,1617224846.229,0.96,0.0062,0.91,0.0097
MNIST-1617224843,1617224846.235,0.95,0.0077,0.97,0.0066
MNIST-1617224843,1617224846.241,0.96,0.0063,0.97,0.0063
MNIST-1617224843,1617224846.247,0.96,0.0066,0.91,0.0124
MNIST-1617224843,1617224846.253,0.98,0.0047,0.94,0.0085
MNIST-1617224843,1617224846.259,0.94,0.0071,0.97,0.0046
MNIST-1617224843,1617224846.265,0.94,0.0084,1.0,0.0029
MNIST-1617224843,1617224846.271,0.98,0.0023,0.97,0.0064
MNIST-1617224843,1617224846.277,0.97,0.0043,1.0,0.0012
MNIST-1617224843,1617224846.283,0.94,0.0072,0.94,0.0079
MNIST-1617224843,1617224846.289,0.96,0.006,0.97,0.0075
MNIST-1617224843,1617224846.296,0.98,0.004,1.0,0.0008
MNIST-1617224843,1617224846.302,1.0,0.0006,0.97,0.0065
MNIST-1617224843,1617224846.31,0.95,0.006,1.0,0.0024
MNIST-1617224843,1617224846.319,0.94,0.0115,0.91,0.0094
MNIST-1617224843,1617224846.325,0.97,0.0048,1.0,0.0012
MNIST-1617224843,1617224846.331,0.96,0.0046,0.94,0.0083
MNIST-1617224843,1617224846.338,0.97,0.0061,1.0,0.001
MNIST-1617224843,1617224846.344,1.0,0.0005,1.0,0.0031
MNIST-1617224843,1617224846.35,0.97,0.0058,0.97,0.0054
MNIST-1617224843,1617224846.356,0.97,0.0051,0.97,0.0039
MNIST-1617224843,1617224846.363,0.95,0.0074,1.0,0.0005
MNIST-1617224843,1617224846.37,0.96,0.0059,0.97,0.0025
MNIST-1617224843,1617224846.376,0.94,0.0086,0.97,0.0081
MNIST-1617224843,1617224846.381,0.99,0.0044,0.97,0.0048
MNIST-1617224843,1617224846.387,0.97,0.0041,0.97,0.0062
